id,classe,vizinho_mais_proximo,classe_vizinho,distancia,mesma_classe
capc_045,capc,normal_074,normal,32.40784753050658,False
capc_046,capc,normal_075,normal,23.18206529682449,False
capc_047,capc,normal_079,normal,30.02158249660261,False
capc_048,capc,notch_091,notch,39.119095309826776,False
capc_049,capc,normal_087,normal,57.442329933660496,False
capc_050,capc,normal_090,normal,46.980297545097095,False
capc_051,capc,normal_067,normal,25.228797797707074,False
capc_052,capc,normal_067,normal,27.575947925964037,False
capc_053,capc,normal_085,normal,34.96018833246211,False
capc_054,capc,normal_087,normal,27.27819647183674,False
capc_055,capc,notch_087,notch,31.131143757244615,False
capc_056,capc,normal_087,normal,37.658056321057536,False
capc_057,capc,notch_067,notch,53.59905541204084,False
capc_058,capc,normal_090,normal,31.366585032676124,False
capc_059,capc,capc_062,capc,38.53623752266987,True
capc_060,capc,normal_091,normal,25.22708852765485,False
capc_061,capc,normal_067,normal,44.1052247985656,False
capc_062,capc,capc_059,capc,38.53623752266987,True
capc_063,capc,normal_088,normal,28.441217543330705,False
capc_064,capc,notch_080,notch,53.8578781388027,False
capc_065,capc,notch_086,notch,56.911447464428626,False
capc_066,capc,normal_081,normal,21.34078201020614,False
capc_067,capc,normal_085,normal,21.105654339164918,False
capc_068,capc,normal_095,normal,33.03217251448799,False
capc_069,capc,normal_080,normal,29.51105352921263,False
capc_070,capc,normal_081,normal,36.11550409696765,False
capc_071,capc,normal_091,normal,26.668574977361306,False
capc_072,capc,normal_085,normal,51.40099979229271,False
capc_073,capc,normal_091,normal,24.499973411387426,False
capc_074,capc,normal_075,normal,27.15167597995613,False
capc_075,capc,normal_088,normal,36.460824476776615,False
capc_076,capc,normal_074,normal,17.948018970444767,False
capc_077,capc,normal_081,normal,25.13164845775681,False
capc_078,capc,normal_082,normal,29.200056374149415,False
capc_079,capc,notch_097,notch,50.045670273810316,False
capc_080,capc,normal_072,normal,48.45423520332035,False
capc_081,capc,notch_058,notch,53.80041705245905,False
capc_082,capc,normal_088,normal,45.01449963591984,False
capc_083,capc,normal_094,normal,41.33725002071336,False
capc_084,capc,normal_085,normal,21.361013586444432,False
capc_085,capc,normal_080,normal,26.278132416495797,False
capc_086,capc,normal_093,normal,23.218155232676207,False
capc_087,capc,normal_085,normal,42.92892092076417,False
